sending 100000 messages. 64 requests at once
logging in to 192.168.188.59 as test
creating room room-32-100000-2with users:
[ 'user1',
  'user2',
  'user3',
  'user4',
  'user5',
  'user6',
  'user7',
  'user8',
  'user9',
  'user10',
  'user11',
  'user12',
  'user13',
  'user14',
  'user15',
  'user16',
  'user17',
  'user18',
  'user19',
  'user20',
  'user21',
  'user22',
  'user23',
  'user24',
  'user25',
  'user26',
  'user27',
  'user28',
  'user29',
  'user30',
  'user31',
  'user32' ]
2;3060217;3060342;125
14;3060219;3060356;136
1;3060217;3060361;145
24;3060220;3060362;142
16;3060219;3060363;144
26;3060221;3060370;149
28;3060221;3060371;150
19;3060220;3060377;157
11;3060219;3060377;159
13;3060219;3060378;159
10;3060218;3060379;161
9;3060218;3060713;494
29;3060221;3060714;493
21;3060220;3060714;494
23;3060220;3060714;494
20;3060220;3060715;496
17;3060219;3060716;496
4;3060218;3060729;512
6;3060218;3060730;512
27;3060221;3060731;510
47;3060224;3060731;508
8;3060218;3060746;528
18;3060220;3060746;527
15;3060219;3060747;527
12;3060219;3060747;528
57;3060227;3060747;520
39;3060223;3060748;525
64;3060228;3060748;520
3;3060217;3060767;550
25;3060221;3060768;547
22;3060220;3060768;548
42;3060223;3060769;546
49;3060226;3060769;544
46;3060223;3060771;547
5;3060218;3060780;562
7;3060218;3060781;563
52;3060226;3060782;555
59;3060227;3060782;555
56;3060227;3060782;556
38;3060222;3060783;561
63;3060228;3060785;557
32;3060222;3060813;592
37;3060222;3060814;592
62;3060227;3060815;587
44;3060223;3060815;592
41;3060223;3060816;593
48;3060226;3060816;590
35;3060222;3060817;595
60;3060227;3060817;590
34;3060222;3060821;599
54;3060227;3060822;596
51;3060226;3060823;597
58;3060227;3060823;596
45;3060223;3060824;600
31;3060221;3060827;605
36;3060222;3060827;605
61;3060227;3060828;600
43;3060223;3060828;605
30;3060221;3060828;607
55;3060227;3060829;602
33;3060222;3060834;612
53;3060226;3060835;608
40;3060223;3060835;612
50;3060226;3060847;621
87;3060746;3061055;308
72;3060377;3061096;720
97;3060769;3061097;328
79;3060714;3061097;383
82;3060729;3061111;381
89;3060747;3061111;364
86;3060746;3061112;366
67;3060362;3061126;764
92;3060748;3061127;379
74;3060378;3061127;750
71;3060371;3061128;757
96;3060769;3061128;359
83;3060730;3061129;398
77;3060714;3061508;794
84;3060731;3061508;778
81;3060716;3061510;794
68;3060362;3061510;1148
93;3060767;3061511;744
65;3060342;3061512;1170
90;3060747;3061513;765
69;3060363;3061525;1162
94;3060768;3061526;758
66;3060356;3061527;1171
91;3060748;3061527;779
78;3060714;3061528;813
75;3060379;3061528;1149
117;3060823;3061528;705
76;3060713;3061541;828
88;3060747;3061542;795
85;3060731;3061542;811
102;3060782;3061543;761
127;3060835;3061543;708
99;3060780;3061544;763
124;3060829;3061544;715
73;3060377;3061560;1183
98;3060771;3061561;790
70;3060370;3061562;1192
95;3060769;3061562;793
112;3060817;3061563;746
109;3060815;3061563;748
101;3060782;3061564;782
126;3060835;3061564;730
80;3060716;3061574;858
122;3060828;3061574;746
119;3060827;3061575;748
111;3060816;3061575;759
123;3060828;3061576;747
107;3060814;3061619;804
104;3060783;3061619;836
121;3060828;3061620;792
108;3060815;3061620;805
100;3060781;3061620;839
125;3060834;3061621;787
114;3060821;3061628;806
106;3060814;3061628;815
118;3060824;3061629;805
110;3060816;3061629;813
116;3060823;3061646;823
103;3060783;3061647;864
120;3060827;3061647;820
113;3060817;3061656;839
105;3060785;3061657;872
115;3060822;3061664;841
128;3060847;3061725;877
136;3061126;3061885;759
161;3061544;3061886;342
146;3061511;3061902;392
153;3061528;3061903;375
131;3061097;3061920;823
156;3061541;3061921;379
138;3061127;3061921;794
163;3061560;3061921;361
130;3061096;3061922;825
155;3061529;3061922;394
141;3061129;3061941;812
166;3061562;3061941;379
148;3061513;3061942;429
140;3061128;3061942;814
165;3061562;3061943;381
142;3061508;3061943;435
167;3061563;3061944;382
151;3061527;3062028;501
133;3061111;3062029;918
158;3061543;3062029;487
150;3061526;3062030;503
152;3061527;3062030;503
139;3061128;3062031;903
164;3061561;3062032;471
143;3061508;3062064;556
168;3061563;3062065;501
135;3061112;3062065;953
